CIP Title,SOC Title
Computer Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Biology Teacher Education.,"Biological Science Teachers, Postsecondary"
Biology Teacher Education.,"Education Teachers, Postsecondary"
Biology Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Biology Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Chemistry Teacher Education.,"Chemistry Teachers, Postsecondary"
Chemistry Teacher Education.,"Education Teachers, Postsecondary"
Chemistry Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Chemistry Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Drama and Dance Teacher Education.,"Education Teachers, Postsecondary"
Drama and Dance Teacher Education.,"Art, Drama, and Music Teachers, Postsecondary"
Drama and Dance Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Drama and Dance Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
French Language Teacher Education.,"Education Teachers, Postsecondary"
French Language Teacher Education.,"Foreign Language and Literature Teachers, Postsecondary"
French Language Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
French Language Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
German Language Teacher Education.,"Education Teachers, Postsecondary"
German Language Teacher Education.,"Foreign Language and Literature Teachers, Postsecondary"
German Language Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
German Language Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Health Occupations Teacher Education.,"Health Specialties Teachers, Postsecondary"
Health Occupations Teacher Education.,"Career/Technical Education Teachers, Postsecondary"
Health Occupations Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Health Occupations Teacher Education.,"Career/Technical Education Teachers, Middle School"
Health Occupations Teacher Education.,"Career/Technical Education Teachers, Secondary School"
History Teacher Education.,"Education Teachers, Postsecondary"
History Teacher Education.,"History Teachers, Postsecondary"
History Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
History Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Physics Teacher Education.,"Physics Teachers, Postsecondary"
Physics Teacher Education.,"Education Teachers, Postsecondary"
Physics Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Spanish Language Teacher Education.,"Education Teachers, Postsecondary"
Spanish Language Teacher Education.,"Foreign Language and Literature Teachers, Postsecondary"
Spanish Language Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Spanish Language Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Speech Teacher Education.,"Education Teachers, Postsecondary"
Speech Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Speech Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Geography Teacher Education.,"Geography Teachers, Postsecondary"
Geography Teacher Education.,"Education Teachers, Postsecondary"
Geography Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Geography Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Latin Teacher Education.,"Foreign Language and Literature Teachers, Postsecondary"
Latin Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Latin Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
School Librarian/School Library Media Specialist.,Librarians and Media Collections Specialists
Psychology Teacher Education.,"Psychology Teachers, Postsecondary"
Psychology Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Earth Science Teacher Education.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Earth Science Teacher Education.,"Education Teachers, Postsecondary"
Earth Science Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Earth Science Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Environmental Education.,"Education Teachers, Postsecondary"
Environmental Education.,"Elementary School Teachers, Except Special Education"
Environmental Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Environmental Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
Communication Arts and Literature Teacher Education.,"Education Teachers, Postsecondary"
Communication Arts and Literature Teacher Education.,"Elementary School Teachers, Except Special Education"
Communication Arts and Literature Teacher Education.,"Middle School Teachers, Except Special and Career/Technical Education"
Communication Arts and Literature Teacher Education.,"Secondary School Teachers, Except Special and Career/Technical Education"
"Teacher Education and Professional Development, Specific Subject Areas, Other.","Education Teachers, Postsecondary"
"Teacher Education and Professional Development, Specific Subject Areas, Other.","Teachers and Instructors, All Other"
Teaching English as a Second or Foreign Language/ESL Language Instructor.,"Preschool Teachers, Except Special Education"
Teaching English as a Second or Foreign Language/ESL Language Instructor.,"Kindergarten Teachers, Except Special Education"
Teaching English as a Second or Foreign Language/ESL Language Instructor.,"Elementary School Teachers, Except Special Education"
Teaching English as a Second or Foreign Language/ESL Language Instructor.,"Middle School Teachers, Except Special and Career/Technical Education"
Teaching English as a Second or Foreign Language/ESL Language Instructor.,"Secondary School Teachers, Except Special and Career/Technical Education"
Teaching English as a Second or Foreign Language/ESL Language Instructor.,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Teaching French as a Second or Foreign Language.,"Preschool Teachers, Except Special Education"
Teaching French as a Second or Foreign Language.,"Kindergarten Teachers, Except Special Education"
Teaching French as a Second or Foreign Language.,"Elementary School Teachers, Except Special Education"
Teaching French as a Second or Foreign Language.,"Middle School Teachers, Except Special and Career/Technical Education"
Teaching French as a Second or Foreign Language.,"Secondary School Teachers, Except Special and Career/Technical Education"
Teaching French as a Second or Foreign Language.,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
"Teaching English or French as a Second or Foreign Language, Other.","Preschool Teachers, Except Special Education"
"Teaching English or French as a Second or Foreign Language, Other.","Kindergarten Teachers, Except Special Education"
"Teaching English or French as a Second or Foreign Language, Other.","Elementary School Teachers, Except Special Education"
"Teaching English or French as a Second or Foreign Language, Other.","Middle School Teachers, Except Special and Career/Technical Education"
"Teaching English or French as a Second or Foreign Language, Other.","Secondary School Teachers, Except Special and Career/Technical Education"
"Teaching English or French as a Second or Foreign Language, Other.","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Teacher Assistant/Aide.,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Teacher Assistant/Aide.,"Teaching Assistants, Special Education"
Teacher Assistant/Aide.,"Teaching Assistants, All Other"
Adult Literacy Tutor/Instructor.,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Adult Literacy Tutor/Instructor.,"Teaching Assistants, All Other"
"Teaching Assistants/Aides, Other.","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
"Teaching Assistants/Aides, Other.","Teaching Assistants, Special Education"
"Teaching Assistants/Aides, Other.","Teaching Assistants, Postsecondary"
"Teaching Assistants/Aides, Other.","Teaching Assistants, All Other"
"Teaching Assistants/Aides, Other.","Educational Instruction and Library Workers, All Other"
"Education, Other.","Education Teachers, Postsecondary"
"Education, Other.","Teachers and Instructors, All Other"
"Engineering, General.",Architectural and Engineering Managers
"Engineering, General.","Engineers, All Other"
"Engineering, General.","Engineering Teachers, Postsecondary"
Pre-Engineering.,NO MATCH
Applied Engineering.,"Engineers, All Other"
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Architectural and Engineering Managers
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Aerospace Engineers
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.","Engineering Teachers, Postsecondary"
Astronautical Engineering.,Architectural and Engineering Managers
Astronautical Engineering.,Aerospace Engineers
Astronautical Engineering.,Aerospace Engineering and Operations Technologists and Technicians
Astronautical Engineering.,"Engineering Teachers, Postsecondary"
"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.",Architectural and Engineering Managers
"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.",Aerospace Engineers
"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.","Engineering Teachers, Postsecondary"
"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.",Avionics Technicians
Agricultural Engineering.,Architectural and Engineering Managers
Agricultural Engineering.,Agricultural Engineers
Agricultural Engineering.,"Engineering Teachers, Postsecondary"
Architectural Engineering.,Architectural and Engineering Managers
Architectural Engineering.,"Engineers, All Other"
Architectural Engineering.,"Architecture Teachers, Postsecondary"
Architectural Engineering.,"Engineering Teachers, Postsecondary"
Bioengineering and Biomedical Engineering.,Architectural and Engineering Managers
Bioengineering and Biomedical Engineering.,Bioengineers and Biomedical Engineers
Bioengineering and Biomedical Engineering.,"Engineering Teachers, Postsecondary"
Ceramic Sciences and Engineering.,Architectural and Engineering Managers
Ceramic Sciences and Engineering.,Chemical Engineers
Ceramic Sciences and Engineering.,Materials Engineers
Ceramic Sciences and Engineering.,"Engineering Teachers, Postsecondary"
Chemical Engineering.,Architectural and Engineering Managers
Chemical Engineering.,Chemical Engineers
Chemical Engineering.,"Engineering Teachers, Postsecondary"
Chemical and Biomolecular Engineering.,Architectural and Engineering Managers
Chemical and Biomolecular Engineering.,Bioengineers and Biomedical Engineers
Chemical and Biomolecular Engineering.,Chemical Engineers
Chemical and Biomolecular Engineering.,"Engineers, All Other"
Chemical and Biomolecular Engineering.,"Engineering Teachers, Postsecondary"
"Chemical Engineering, Other.",Architectural and Engineering Managers
"Chemical Engineering, Other.",Chemical Engineers
"Chemical Engineering, Other.","Engineering Teachers, Postsecondary"
"Civil Engineering, General.",Architectural and Engineering Managers
"Civil Engineering, General.",Civil Engineers
"Civil Engineering, General.","Engineering Teachers, Postsecondary"
Geotechnical and Geoenvironmental Engineering.,Architectural and Engineering Managers
Geotechnical and Geoenvironmental Engineering.,Civil Engineers
Geotechnical and Geoenvironmental Engineering.,Environmental Engineers
Geotechnical and Geoenvironmental Engineering.,"Mining and Geological Engineers, Including Mining Safety Engineers"
Geotechnical and Geoenvironmental Engineering.,Petroleum Engineers
Geotechnical and Geoenvironmental Engineering.,"Engineers, All Other"
Geotechnical and Geoenvironmental Engineering.,"Engineering Teachers, Postsecondary"
Structural Engineering.,Architectural and Engineering Managers
Structural Engineering.,Civil Engineers
Structural Engineering.,"Engineering Teachers, Postsecondary"
Transportation and Highway Engineering.,Architectural and Engineering Managers
Transportation and Highway Engineering.,Civil Engineers
Transportation and Highway Engineering.,"Engineering Teachers, Postsecondary"
Water Resources Engineering.,Architectural and Engineering Managers
Water Resources Engineering.,Civil Engineers
Water Resources Engineering.,Environmental Engineers
Water Resources Engineering.,"Engineers, All Other"
Water Resources Engineering.,"Engineering Teachers, Postsecondary"
"Civil Engineering, Other.",Architectural and Engineering Managers
"Civil Engineering, Other.",Civil Engineers
"Civil Engineering, Other.","Engineering Teachers, Postsecondary"
"Computer Engineering, General.",Architectural and Engineering Managers
"Computer Engineering, General.",Computer Network Architects
"Computer Engineering, General.",Database Architects
"Computer Engineering, General.",Software Developers
"Computer Engineering, General.",Software Quality Assurance Analysts and Testers
"Computer Engineering, General.",Computer Hardware Engineers
"Computer Engineering, General.","Engineering Teachers, Postsecondary"
Computer Hardware Engineering.,Architectural and Engineering Managers
Computer Hardware Engineering.,Computer Hardware Engineers
Computer Hardware Engineering.,"Engineering Teachers, Postsecondary"
Computer Software Engineering.,Architectural and Engineering Managers
Computer Software Engineering.,Database Architects
Computer Software Engineering.,Software Developers
Computer Software Engineering.,Software Quality Assurance Analysts and Testers
Computer Software Engineering.,"Engineering Teachers, Postsecondary"
"Computer Engineering, Other.",Architectural and Engineering Managers
"Computer Engineering, Other.",Computer Network Architects
"Computer Engineering, Other.","Engineering Teachers, Postsecondary"
Electrical and Electronics Engineering.,Architectural and Engineering Managers
Electrical and Electronics Engineering.,Aerospace Engineers
Electrical and Electronics Engineering.,Computer Hardware Engineers
Electrical and Electronics Engineering.,Electrical Engineers
Electrical and Electronics Engineering.,"Electronics Engineers, Except Computer"
Electrical and Electronics Engineering.,"Engineering Teachers, Postsecondary"
Laser and Optical Engineering.,Architectural and Engineering Managers
Laser and Optical Engineering.,"Engineers, All Other"
Laser and Optical Engineering.,"Engineering Teachers, Postsecondary"
Telecommunications Engineering.,Architectural and Engineering Managers
Telecommunications Engineering.,"Electronics Engineers, Except Computer"
Telecommunications Engineering.,"Engineers, All Other"
Telecommunications Engineering.,"Engineering Teachers, Postsecondary"
"Electrical, Electronics, and Communications Engineering, Other.",Architectural and Engineering Managers
"Electrical, Electronics, and Communications Engineering, Other.",Electrical Engineers
"Electrical, Electronics, and Communications Engineering, Other.","Electronics Engineers, Except Computer"
"Electrical, Electronics, and Communications Engineering, Other.","Engineering Teachers, Postsecondary"
Engineering Mechanics.,Architectural and Engineering Managers
Engineering Mechanics.,Mechanical Engineers
Engineering Mechanics.,"Engineers, All Other"
Engineering Mechanics.,"Engineering Teachers, Postsecondary"
Engineering Physics/Applied Physics.,Architectural and Engineering Managers
Engineering Physics/Applied Physics.,Natural Sciences Managers
Engineering Physics/Applied Physics.,"Engineers, All Other"
Engineering Physics/Applied Physics.,Physicists
Engineering Physics/Applied Physics.,"Engineering Teachers, Postsecondary"
Engineering Science.,Architectural and Engineering Managers
Engineering Science.,"Engineers, All Other"
Engineering Science.,"Engineering Teachers, Postsecondary"
Environmental/Environmental Health Engineering.,Architectural and Engineering Managers
Environmental/Environmental Health Engineering.,Environmental Engineers
Environmental/Environmental Health Engineering.,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Environmental/Environmental Health Engineering.,"Engineering Teachers, Postsecondary"
Materials Engineering.,Architectural and Engineering Managers
Materials Engineering.,Cost Estimators
Materials Engineering.,Materials Engineers
Materials Engineering.,"Engineering Teachers, Postsecondary"
Mechanical Engineering.,Architectural and Engineering Managers
Mechanical Engineering.,Cost Estimators
Mechanical Engineering.,Aerospace Engineers
Mechanical Engineering.,Mechanical Engineers
Mechanical Engineering.,"Engineering Teachers, Postsecondary"
Metallurgical Engineering.,Architectural and Engineering Managers
Metallurgical Engineering.,Materials Engineers
Metallurgical Engineering.,"Engineering Teachers, Postsecondary"
Mining and Mineral Engineering.,Architectural and Engineering Managers
Mining and Mineral Engineering.,"Mining and Geological Engineers, Including Mining Safety Engineers"
Mining and Mineral Engineering.,"Engineering Teachers, Postsecondary"
Naval Architecture and Marine Engineering.,Architectural and Engineering Managers
Naval Architecture and Marine Engineering.,Marine Engineers and Naval Architects
Naval Architecture and Marine Engineering.,"Engineering Teachers, Postsecondary"
Nuclear Engineering.,Architectural and Engineering Managers
Nuclear Engineering.,Nuclear Engineers
Nuclear Engineering.,"Engineering Teachers, Postsecondary"
Ocean Engineering.,Architectural and Engineering Managers
Ocean Engineering.,"Engineers, All Other"
Ocean Engineering.,"Engineering Teachers, Postsecondary"
Petroleum Engineering.,Architectural and Engineering Managers
Petroleum Engineering.,Petroleum Engineers
Petroleum Engineering.,"Engineering Teachers, Postsecondary"
Systems Engineering.,Architectural and Engineering Managers
Systems Engineering.,Database Architects
Systems Engineering.,Industrial Engineers
Systems Engineering.,"Engineers, All Other"
Systems Engineering.,"Engineering Teachers, Postsecondary"
Textile Sciences and Engineering.,Architectural and Engineering Managers
Textile Sciences and Engineering.,Materials Engineers
Textile Sciences and Engineering.,"Engineering Teachers, Postsecondary"
Polymer/Plastics Engineering.,Architectural and Engineering Managers
Polymer/Plastics Engineering.,Chemical Engineers
Polymer/Plastics Engineering.,Materials Engineers
Polymer/Plastics Engineering.,"Engineering Teachers, Postsecondary"
Construction Engineering.,Architectural and Engineering Managers
Construction Engineering.,Cost Estimators
Construction Engineering.,Civil Engineers
Construction Engineering.,"Engineers, All Other"
Construction Engineering.,"Engineering Teachers, Postsecondary"
Forest Engineering.,Architectural and Engineering Managers
Forest Engineering.,"Engineers, All Other"
Forest Engineering.,"Engineering Teachers, Postsecondary"
Industrial Engineering.,Industrial Production Managers
Industrial Engineering.,Architectural and Engineering Managers
Industrial Engineering.,Industrial Engineers
Industrial Engineering.,"Engineering Teachers, Postsecondary"
Manufacturing Engineering.,Architectural and Engineering Managers
Manufacturing Engineering.,Cost Estimators
Manufacturing Engineering.,Industrial Engineers
Manufacturing Engineering.,"Engineers, All Other"
Manufacturing Engineering.,"Engineering Teachers, Postsecondary"
Operations Research.,Natural Sciences Managers
Operations Research.,Operations Research Analysts
Operations Research.,"Engineering Teachers, Postsecondary"
Surveying Engineering.,Architectural and Engineering Managers
Surveying Engineering.,Cartographers and Photogrammetrists
Surveying Engineering.,Surveyors
Surveying Engineering.,"Engineers, All Other"
Surveying Engineering.,"Engineering Teachers, Postsecondary"
Geological/Geophysical Engineering.,Architectural and Engineering Managers
Geological/Geophysical Engineering.,"Mining and Geological Engineers, Including Mining Safety Engineers"
Geological/Geophysical Engineering.,"Engineers, All Other"
Geological/Geophysical Engineering.,"Engineering Teachers, Postsecondary"
Paper Science and Engineering.,Architectural and Engineering Managers
Paper Science and Engineering.,Chemical Engineers
Paper Science and Engineering.,"Engineers, All Other"
Paper Science and Engineering.,"Engineering Teachers, Postsecondary"
Electromechanical Engineering.,Architectural and Engineering Managers
Electromechanical Engineering.,Electrical Engineers
Electromechanical Engineering.,Mechanical Engineers
Electromechanical Engineering.,"Engineers, All Other"
Electromechanical Engineering.,"Engineering Teachers, Postsecondary"
"Mechatronics, Robotics, and Automation Engineering.",Architectural and Engineering Managers
"Mechatronics, Robotics, and Automation Engineering.","Engineers, All Other"
"Mechatronics, Robotics, and Automation Engineering.","Engineering Teachers, Postsecondary"
Biochemical Engineering.,Architectural and Engineering Managers
Biochemical Engineering.,Chemical Engineers
Biochemical Engineering.,"Engineers, All Other"
Biochemical Engineering.,"Engineering Teachers, Postsecondary"
Engineering Chemistry.,Architectural and Engineering Managers
Engineering Chemistry.,Chemical Engineers
Engineering Chemistry.,"Engineers, All Other"
Engineering Chemistry.,"Engineering Teachers, Postsecondary"
Biological/Biosystems Engineering.,Architectural and Engineering Managers
Biological/Biosystems Engineering.,Bioengineers and Biomedical Engineers
Biological/Biosystems Engineering.,"Engineers, All Other"
Biological/Biosystems Engineering.,"Engineering Teachers, Postsecondary"
Electrical and Computer Engineering.,Architectural and Engineering Managers
Electrical and Computer Engineering.,Computer Hardware Engineers
Electrical and Computer Engineering.,Electrical Engineers
Electrical and Computer Engineering.,"Engineers, All Other"
Electrical and Computer Engineering.,"Engineering Teachers, Postsecondary"
"Energy Systems Engineering, General.",Architectural and Engineering Managers
"Energy Systems Engineering, General.","Engineers, All Other"
"Energy Systems Engineering, General.","Engineering Teachers, Postsecondary"
Power Plant Engineering.,Architectural and Engineering Managers
Power Plant Engineering.,"Engineers, All Other"
Power Plant Engineering.,"Engineering Teachers, Postsecondary"
"Energy Systems Engineering, Other.",Architectural and Engineering Managers
"Energy Systems Engineering, Other.","Engineers, All Other"
"Energy Systems Engineering, Other.","Engineering Teachers, Postsecondary"
"Engineering, Other.",Architectural and Engineering Managers
"Engineering, Other.","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
"Engineering, Other.","Engineers, All Other"
"Engineering, Other.","Engineering Teachers, Postsecondary"
"Engineering Technologies/Technicians, General.",Aerospace Engineering and Operations Technologists and Technicians
"Engineering Technologies/Technicians, General.",Civil Engineering Technologists and Technicians
"Engineering Technologies/Technicians, General.",Electrical and Electronic Engineering Technologists and Technicians
"Engineering Technologies/Technicians, General.",Electro-Mechanical and Mechatronics Technologists and Technicians
Applied Engineering Technologies/Technicians.,Electro-Mechanical and Mechatronics Technologists and Technicians
Applied Engineering Technologies/Technicians.,Industrial Engineering Technologists and Technicians
Applied Engineering Technologies/Technicians.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Architectural Engineering Technologies/Technicians.,Architectural and Civil Drafters
Architectural Engineering Technologies/Technicians.,Civil Engineering Technologists and Technicians
Architectural Engineering Technologies/Technicians.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Civil Engineering Technologies/Technicians.,Civil Engineering Technologists and Technicians
Civil Engineering Technologies/Technicians.,Traffic Technicians
"Electrical, Electronic, and Communications Engineering Technology/Technician.",Electrical and Electronics Drafters
"Electrical, Electronic, and Communications Engineering Technology/Technician.",Aerospace Engineering and Operations Technologists and Technicians
"Electrical, Electronic, and Communications Engineering Technology/Technician.",Electrical and Electronic Engineering Technologists and Technicians
"Electrical, Electronic, and Communications Engineering Technology/Technician.",Electro-Mechanical and Mechatronics Technologists and Technicians
"Electrical, Electronic, and Communications Engineering Technology/Technician.",Calibration Technologists and Technicians
"Electrical, Electronic, and Communications Engineering Technology/Technician.","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Laser and Optical Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Telecommunications Technology/Technician.,Electrical and Electronic Engineering Technologists and Technicians
Integrated Circuit Design Technology/Technician.,Electrical and Electronics Drafters
Integrated Circuit Design Technology/Technician.,Electrical and Electronic Engineering Technologists and Technicians
Audio Engineering Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Audio Engineering Technology/Technician.,"Disc Jockeys, Except Radio"
Audio Engineering Technology/Technician.,Sound Engineering Technicians
"Electrical/Electronic Engineering Technologies/Technicians, Other.",Electrical and Electronic Engineering Technologists and Technicians
Biomedical Technology/Technician.,Calibration Technologists and Technicians
Biomedical Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Biomedical Technology/Technician.,Medical Equipment Repairers
Electromechanical/Electromechanical Engineering Technology/Technician.,Electrical and Electronics Drafters
Electromechanical/Electromechanical Engineering Technology/Technician.,Electro-Mechanical and Mechatronics Technologists and Technicians
Instrumentation Technology/Technician.,Electro-Mechanical and Mechatronics Technologists and Technicians
Instrumentation Technology/Technician.,Calibration Technologists and Technicians
Instrumentation Technology/Technician.,"Precision Instrument and Equipment Repairers, All Other"
Robotics Technology/Technician.,Electro-Mechanical and Mechatronics Technologists and Technicians
Automation Engineer Technology/Technician.,Electrical and Electronic Engineering Technologists and Technicians
Automation Engineer Technology/Technician.,Electro-Mechanical and Mechatronics Technologists and Technicians
"Mechatronics, Robotics, and Automation Engineering Technology/Technician.",Electro-Mechanical and Mechatronics Technologists and Technicians
"Electromechanical Technologies/Technicians, Other.",Electro-Mechanical and Mechatronics Technologists and Technicians
"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.","Engineering Technologists and Technicians, Except Drafters, All Other"
"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.","Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,Environmental Engineering Technologists and Technicians
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,"Environmental Science and Protection Technicians, Including Health"
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,Water and Wastewater Treatment Plant and System Operators
Environmental/Environmental Engineering Technology/Technician.,Environmental Engineering Technologists and Technicians
Environmental/Environmental Engineering Technology/Technician.,"Environmental Science and Protection Technicians, Including Health"
Hazardous Materials Management and Waste Technology/Technician.,Environmental Engineering Technologists and Technicians
Hazardous Materials Management and Waste Technology/Technician.,"Environmental Science and Protection Technicians, Including Health"
Hazardous Materials Management and Waste Technology/Technician.,Hazardous Materials Removal Workers
"Environmental Control Technologies/Technicians, Other.","Engineering Technologists and Technicians, Except Drafters, All Other"
Plastics and Polymer Engineering Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Metallurgical Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Industrial Technology/Technician.,Industrial Engineering Technologists and Technicians
Manufacturing Engineering Technology/Technician.,Industrial Engineering Technologists and Technicians
Welding Engineering Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Welding Engineering Technology/Technician.,"Welders, Cutters, Solderers, and Brazers"
Chemical Engineering Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Semiconductor Manufacturing Technology/Technician.,Electrical and Electronic Engineering Technologists and Technicians
Semiconductor Manufacturing Technology/Technician.,Semiconductor Processing Technicians
Composite Materials Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
"Industrial Production Technologies/Technicians, Other.",Industrial Engineering Technologists and Technicians
Occupational Safety and Health Technology/Technician.,Occupational Health and Safety Specialists
Quality Control Technology/Technician.,"Inspectors, Testers, Sorters, Samplers, and Weighers"
Industrial Safety Technology/Technician.,Industrial Engineering Technologists and Technicians
Industrial Safety Technology/Technician.,Occupational Health and Safety Specialists
Hazardous Materials Information Systems Technology/Technician.,Environmental Engineering Technologists and Technicians
Process Safety Technology/Technician.,Industrial Engineering Technologists and Technicians
Process Safety Technology/Technician.,Occupational Health and Safety Technicians
"Quality Control and Safety Technologies/Technicians, Other.",NO MATCH
Aeronautical/Aerospace Engineering Technology/Technician.,Mechanical Drafters
Aeronautical/Aerospace Engineering Technology/Technician.,Aerospace Engineering and Operations Technologists and Technicians
Automotive Engineering Technology/Technician.,Mechanical Drafters
Automotive Engineering Technology/Technician.,Mechanical Engineering Technologists and Technicians
Automotive Engineering Technology/Technician.,Automotive Service Technicians and Mechanics
Mechanical/Mechanical Engineering Technology/Technician.,Mechanical Drafters
Mechanical/Mechanical Engineering Technology/Technician.,Electro-Mechanical and Mechatronics Technologists and Technicians
Mechanical/Mechanical Engineering Technology/Technician.,Mechanical Engineering Technologists and Technicians
Marine Engineering Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Marine Engineering Technology/Technician.,Motorboat Mechanics and Service Technicians
Motorsports Engineering Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Motorsports Engineering Technology/Technician.,Automotive Service Technicians and Mechanics
"Mechanical Engineering Related Technologies/Technicians, Other.",Mechanical Engineering Technologists and Technicians
Mining Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Mining Technology/Technician.,"Geological Technicians, Except Hydrologic Technicians"
Mining Technology/Technician.,"Service Unit Operators, Oil and Gas"
Petroleum Technology/Technician.,"Geological Technicians, Except Hydrologic Technicians"
Petroleum Technology/Technician.,Gas Plant Operators
"Mining and Petroleum Technologies/Technicians, Other.","Geological Technicians, Except Hydrologic Technicians"
Construction Engineering Technology/Technician.,Construction Managers
Construction Engineering Technology/Technician.,Cost Estimators
Construction Engineering Technology/Technician.,Civil Engineering Technologists and Technicians
Surveying Technology/Surveying.,Cartographers and Photogrammetrists
Surveying Technology/Surveying.,Surveyors
Surveying Technology/Surveying.,"Drafters, All Other"
Surveying Technology/Surveying.,Surveying and Mapping Technicians
Hydraulics and Fluid Power Technology/Technician.,Mechanical Engineering Technologists and Technicians
Hydraulics and Fluid Power Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
"Engineering-Related Technologies/Technicians, Other.",NO MATCH
Computer Engineering Technology/Technician.,Software Quality Assurance Analysts and Testers
Computer Engineering Technology/Technician.,Electrical and Electronic Engineering Technologists and Technicians
Computer Engineering Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Computer/Computer Systems Technology/Technician.,Software Quality Assurance Analysts and Testers
Computer/Computer Systems Technology/Technician.,Electrical and Electronic Engineering Technologists and Technicians
Computer/Computer Systems Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Computer Hardware Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
Computer Software Technology/Technician.,Computer Programmers
Computer Software Technology/Technician.,Software Developers
Computer Software Technology/Technician.,Software Quality Assurance Analysts and Testers
Computer Software Technology/Technician.,"Engineering Technologists and Technicians, Except Drafters, All Other"
"Computer Engineering Technologies/Technicians, Other.","Engineering Technologists and Technicians, Except Drafters, All Other"
"Drafting and Design Technology/Technician, General.",Architectural and Civil Drafters
"Drafting and Design Technology/Technician, General.",Electrical and Electronics Drafters
"Drafting and Design Technology/Technician, General.",Mechanical Drafters
"Drafting and Design Technology/Technician, General.","Drafters, All Other"
